"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa"	"AMI"	"Moyohulu"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa"	"AMI"	"Plampang"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa"	"AMI"	"Ropang"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa"	"AMI"	"Utan-Rhee"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa"	"AMI"	"Alas Barat"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa"	"AMI"	"Labangka"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa"	"AMI"	"Labuhan Badas"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa"	"AMI"	"Sumbawa"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Gerung"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Bayan"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Gangga"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Kediri "	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Labu Api"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Narmada"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Sekotong Tengah"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Tanjung"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Batu Layar"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Gunung Sari"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Kayangan"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Kuripan "	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Lembar"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Lingsar"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Lombok Barat"	"AMI"	"Pemenang"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa Barat"	"AMI"	"Taliwang"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa Barat"	"AMI"	"Jereweh"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa Barat"	"AMI"	"Seteluk"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa Barat"	"AMI"	"Sekongkang"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Sumbawa Barat"	"AMI"	"Brang Rea"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Woha"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Ambalawi"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Belo"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Bolo"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Donggo"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Lambu"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Langgudu"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Mada Pangga"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Monta"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Sanggar"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Sape"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Tambora"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Wawo"	
"ID"	"Nusa Tenggara Barat"	"Other Kab. Bima"	"AMI"	"Wera"	
"ID"	"Maluku"	"Ambon"	"AMQ"	"Ambon"	
