"ID"	"Sumatera Barat"	"Kab. Padang Pariaman"	"PDG"	"2 X 11 Kayu Tanam"
"ID"	"Sumatera Selatan"	"Kab. Muara Enim"	"PLM"	"Abab (Penukal Abab)"
"ID"	"Bali"	"Kab. Karangasem"	"DPS"	"Abang"
"ID"	"Sulawesi Tenggara"	"Kota Kendari"	"KDI"	"Abeli"
"ID"	"Papua"	"Kab. Jayawijaya"	"DJJ"	"Abenaho"
"ID"	"Papua"	"Kota Jayapura"	"DJJ"	"Abepura"
"ID"	"Bali"	"Kab. Badung"	"DPS"	"Abiansemal"
"ID"	"Sulawesi Tenggara"	"Kab. Konawe"	"KDI"	"Abuki"
"ID"	"Papua Barat"	"Kab. Sorong"	"SOQ"	"Abun"
"ID"	"Lampung"	"Kab. Lampung Utara"	"TKG"	"Abung Barat"
"ID"	"Lampung"	"Kab. Lampung Utara"	"TKG"	"Abung Selatan"
"ID"	"Lampung"	"Kab. Lampung Utara"	"TKG"	"Abung Semuli"
"ID"	"Lampung"	"Kab. Lampung Utara"	"TKG"	"Abung Surakarta"
"ID"	"Lampung"	"Kab. Lampung Utara"	"TKG"	"Abung Tengah"
"ID"	"Lampung"	"Kab. Lampung Utara"	"TKG"	"Abung Timur"
"ID"	"Lampung"	"Kab. Lampung Utara"	"TKG"	"Abung Tinggi"
"ID"	"Lampung"	"Kab. Tanggamus"	"TKG"	"Adi Luwih"
"ID"	"Sumatera Utara"	"Kab. Tapanuli Utara"	"MES"	"Adiankoting"
"ID"	"Jawa Tengah"	"Kab. Kebumen"	"MGL"	"Adimulyo"
"ID"	"Jawa Tengah"	"Kab. Cilacap"	"CXP"	"Adipala"
"ID"	"Jawa Tengah"	"Kab. Tegal"	"SRG"	"Adiwerna"
"ID"	"Sumatera Utara"	"Kab. Tapanuli Tengah"	"MES"	"Adman Dewi"
"ID"	"NTT"	"Kab. Flores Timur"	"KOE"	"Adonara Barat"
"ID"	"NTT"	"Kab. Flores Timur"	"KOE"	"Adonara Timur"
"ID"	"Sumatera Utara"	"Kab. Tapanuli Selatan"	"MES"	"Aek Bilah"
"ID"	"Sumatera Utara"	"Kab. Asahan"	"MES"	"Aek Kuasan"
"ID"	"Sumatera Utara"	"Kab. Labuhan Batu"	"MES"	"Aek Kuo"
"ID"	"Sumatera Utara"	"Kab. Labuhan Batu"	"MES"	"Aek Natas"
"ID"	"NTT"	"Kab. Nagekeo"	"KOE"	"Aesesa"
"ID"	"NTT"	"Kab. Nagekeo"	"KOE"	"Aesesa Selatan"
"ID"	"Sumatera Utara"	"Kab. Nias"	"MES"	"Afulu"
"ID"	"Papua"	"Kab. Asmat"	"DJJ"	"Agats"
"ID"	"Papua"	"Kab. Mimika"	"TIM"	"Agimuga"
"ID"	"Papua"	"Kab. Paniai"	"NBX"	"Agisiga"
"ID"	"Papua"	"Kab. Intan Jaya"	"NBX"	"Agisiga"
"ID"	"Jawa Barat"	"Kab. Cianjur"	"SMI"	"Agrabinta"
"ID"	"Papua Barat"	"Kab. Sorong Selatan"	"SOQ"	"Aifat"
"ID"	"Papua Barat"	"Kab. Sorong Selatan"	"SOQ"	"Aifat Timur"
"ID"	"Ntb"	"Kab. Lombok Timur"	"AMI"	"Aikmel"
"ID"	"Papua Barat"	"Kab. Sorong"	"SOQ"	"Aimas"
"ID"	"NTT"	"Kab. Ngada"	"KOE"	"Aimere"
"ID"	"Sumatera Utara"	"Kab. Asahan"	"MES"	"Air Batu"
"ID"	"Kalimantan Barat"	"Kab. Landak"	"PNK"	"Air Besar"
"ID"	"Bengkulu"	"Kab. Bengkulu Utara"	"BKS"	"Air Besi"
"ID"	"Maluku"	"Kab. Buru"	"AMQ"	"Air Buaya / Buru Utara Barat"
"ID"	"Bangka Belitung"	"Kab. Bangka Selatan"	"PGK"	"Air Gegas"
"ID"	"Jambi"	"Kab. Kerinci"	"DJB"	"Air Hangat"
"ID"	"Jambi"	"Kab. Kerinci"	"DJB"	"Air Hangat Timur"
"ID"	"Sumatera Utara"	"Kab. Asahan"	"MES"	"Air Joman"
"ID"	"Bengkulu"	"Kab. Bengkulu Utara"	"BKS"	"Air Napal"
"ID"	"Bengkulu"	"Kab. Seluma"	"BKS"	"Air Periukan"
"ID"	"Sumatera Utara"	"Kab. Batubara"	"MES"	"Air Putih"
"ID"	"Sumatera Selatan"	"Kab. Ogan Komering Ilir"	"PLM"	"Air Sugihan"
"ID"	"Kalimantan Barat"	"Kab. Ketapang"	"PNK"	"Air Upas"
"ID"	"Sulawesi Utara"	"Kab. Minahasa Utara"	"MDC"	"Airmadidi"
"ID"	"Papua Barat"	"Kab. Sorong Selatan"	"SOQ"	"Aitinyo"
"ID"	"Sulawesi Selatan"	"Kab. Bone"	"UPG"	"Ajangale"
"ID"	"Jawa Tengah"	"Kab. Banyumas"	"SRG"	"Ajibarang"
"ID"	"Sumatera Utara"	"Kab. Toba Samosir"	"MES"	"Ajibata"
"ID"	"Jawa Timur"	"Kab. Jember"	"JBR"	"Ajung"
"ID"	"Sumatera Barat"	"Kab. Lima Puluh Kota"	"PDG"	"Akabiluru"
"ID"	"Papua"	"Kab. Asmat"	"DJJ"	"Akat"
"ID"	"Nad"	"Kab. Simeuleu"	"BTJ"	"Alafan"
"ID"	"NTT"	"Kota Kupang"	"KOE"	"Alak"
