Province	City	District	Area Code	CIty Code
Jawa Tengah	Kab. Klaten	Juwiring	SOC20308	SOC
Sulawesi Tenggara	Kab. Bombana	Kabaena	KDI20501	KDI
Sulawesi Tenggara	Kab. Bombana	Kabaena Timur	KDI20502	KDI
Jawa Barat	Kab. Sukabumi	Kabandungan	SMI10025	SMI
Sulawesi Tenggara	Kab. Muna	Kabangka	KDI20304	KDI
Sumatera Utara	Kab. Karo	Kabanjahe	MES20800	MES
Sulawesi Utara	Kab. Kepulauan Talaud	Kabaruan	MDC20704	MDC
Jawa Timur	Kab. Banyuwangi	Kabat	JBR20106	JBR
Sulawesi Tenggara	Kab. Muna	Kabawo	KDI20305	KDI
Gorontalo	Kota Bone Bolango	Kabila	GTO20302	GTO
Jawa Timur	Kab. Jombang	Kabuh	SUB20206	SUB
Riau	Kab. Rokan Hulu	Kabun	PKU21102	PKU
Sulawesi Tenggara	Kab. Buton & Buton Utara	Kadatua	KDI20604	KDI
Jawa Timur	Kab. Blitar	Kademangan	MXG20106	MXG
Jawa Timur	Kota Probolinggo	Kademangan	PBL10025	PBL
Jawa Barat	Kab. Majalengka	Kadipaten	CBN20307	CBN
Jawa Barat	Kab. Tasikmalaya	Kadipaten	BDO20629	BDO
Jawa Barat	Kab. Sukabumi	Kadudampit	SMI10026	SMI
Jawa Barat	Kab. Kuningan	Kadugede	CBN20218	CBN
Banten	Kab. Pandeglang	Kaduhejo	CLG20130	CLG
Jawa Barat	Kab. Garut	Kadungora	BDO20715	BDO
Jawa Barat	Kab. Cianjur	Kadupandak	SMI20111	SMI
Jawa Timur	Kab. Pamekasan	Kadur	SUB20503	SUB
Nusa Tenggara Timur	Kab. Sumba Timur	Kahaungu Eti	KOE21007	KOE
Kalimantan Tengah	Kab. Pulang Pisau	Kahayan Hilir	PKY21202	PKY
Kalimantan Tengah	Kab. Gunung Mas	Kahayan Hulu Utara	PKY20401	PKY
Kalimantan Tengah	Kab. Pulang Pisau	Kahayan Kuala	PKY21204	PKY
Kalimantan Tengah	Kab. Pulang Pisau	Kahayan Tengah	PKY21203	PKY
Sulawesi Selatan	Kab. Bone	Kahu	UPG21807	UPG
Sulawesi Utara	Kab. Bolaang Mongondow	Kaidipang	MDC20106	MDC
Sulawesi Utara	Kab. Bolaang Mongondow Utara	Kaidipang	MDC20604	MDC
Papua Barat	Kab. Kaimana	Kaimana	SOQ20100	SOQ
Maluku	Kab. Seram Bagian Barat	Kairatu	AMQ20601	AMQ
Papua Barat	Kab. Sorong Selatan	Kais	SOQ20407	SOQ
Sulawesi Selatan	Kab. Bulukumba	Kajang	UPG20306	UPG
Jawa Tengah	Kab. Pekalongan	Kajen	SRG22200	SRG
Jawa Tengah	Kab. Magelang	Kajoran	MGL10505	MGL
Sulawesi Selatan	Kab. Bone	Kajuara	UPG21808	UPG
Sulawesi Utara	Kab. Minahasa	Kakas	MDC20303	MDC
Nusa Tenggara Timur	Kab. Belu	Kakuluk Mesak	KOE20110	KOE
Nusa Tenggara Timur	Kab. Alor	Kalabahi	KOE20200	KOE
Jawa Barat	Kab. Sukabumi	Kalapa Nunggal	SMI10027	SMI
D.I. Yogyakarta	Kab. Sleman	Kalasan	JOG20304	JOG
Sulawesi Utara	Kab. Minahasa Utara	Kalawat	MDC20802	MDC
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Kalbano	KOE20714	KOE
Sulawesi Tenggara	Kab. Wakatobi	Kaledupa	KDI20902	KDI
Lampung	Kab. Lampung Selatan	Kalianda	TKG20100	TKG
Jawa Timur	Kab. Sumenep	Kalianget	SUB20813	SUB
Jawa Tengah	Kab. Magelang	Kaliangkrik	MGL10506	MGL
Jawa Tengah	Kab. Banyumas	Kalibagor	SRG10407	SRG
Jawa Timur	Kab. Banyuwangi	Kalibaru	JBR20107	JBR
Jawa Tengah	Kab. Wonosobo	Kalibawang	MGL10214	MGL
D.I. Yogyakarta	Kab. Kulon Progo	Kalibawang	JOG20403	JOG
Jawa Tengah	Kab. Banjarnegara	Kalibening	SRG21804	SRG
Jawa Barat	Kab. Sukabumi	Kalibunder	SMI10028	SMI
Jawa Timur	Kab. Tulungagung	Kalidawir	SUB21005	SUB
Dki Jakarta	Kota Administrasi Jakarta Barat	Kalideres	CGK10102	CGK
Sumatera Selatan	Kota Palembang	Kalidoni	PLM10010	PLM
Jawa Tengah	Kab. Purworejo	Kaligesing	MGL10305	MGL
Jawa Tengah	Kab. Purbalingga	Kaligondang	SRG21704	SRG
Jawa Tengah	Kab. Sragen	Kalijambe	SOC20405	SOC
Jawa Barat	Kab. Subang	Kalijati	BDO21110	BDO
Jawa Tengah	Kab. Wonosobo	Kalikajar	MGL10202	MGL
Jawa Tengah	Kab. Klaten	Kalikotes	SOC20309	SOC
Jawa Tengah	Kab. Purbalingga	Kalimanah	SRG21705	SRG
Jawa Barat	Kab. Kuningan	Kalimanggis	CBN20219	CBN
Jawa Tengah	Kab. Jepara	Kalinyamatan	SRG10112	SRG
Kalimantan Timur	Kab. Kutai Timur	Kaliorang	BTG20105	BTG
Jawa Tengah	Kab. Rembang	Kaliori	SRG21203	SRG
Jawa Timur	Kab. Malang	Kalipare	MXG20310	MXG
Jawa Barat	Kab. Ciamis	Kalipucang	BDO20519	BDO
Jawa Timur	Kab. Banyuwangi	Kalipuro	JBR20119	JBR
Lampung	Kab. Lampung Tengah	Kalirejo	TKG20914	TKG
Kalimantan Barat	Kab. Kapuas Hulu	Kalis	PNK20220	PNK
Jawa Timur	Kab. Jember	Kalisat	JBR10008	JBR
Jawa Timur	Kab. Lamongan	Kalitengah	SUB10206	SUB
Jawa Tengah	Kab. Bojonegoro	Kalitidu	SRG20405	SRG
Jawa Timur	Kab. Jember	Kaliwates	JBR10028	JBR
Jawa Barat	Kab. Cirebon	Kaliwedi	CBN20415	CBN
Jawa Tengah	Kab. Wonosobo	Kaliwiro	MGL10203	MGL
Jawa Tengah	Kab. Kendal	Kaliwungu	SRG20806	SRG
Jawa Tengah	Kab. Kudus	Kaliwungu	SRG10207	SRG
Jawa Tengah	Kab. Semarang	Kaliwungu	SRG21610	SRG
Jawa Tengah	Kab. Temanggung	Kaloran	MGL10404	MGL
Sulawesi Barat	Kab. Mamuju	Kalukku	UPG20703	UPG
Sulawesi Selatan	Kab. Pangkajene Kepulauan	Kalukuang Masalima	UPG22109	UPG
Kalimantan Selatan	Kab. Hulu Sungai Selatan	Kalumpang	BDJ10204	BDJ
Sulawesi Barat	Kab. Mamuju	Kalumpang	UPG20702	UPG
Jawa Timur	Kab. Bangkalan	Kamal	SUB20105	SUB
Sumatera Barat	Kab. Sijunjung	Kamang Baru	PDG21904	PDG
Sumatera Barat	Kab. Agam	Kamang Magek	PDG22214	PDG
Sulawesi Selatan	Kab. Luwu Utara	Kamanre	UPG23105	UPG
Sulawesi Tenggara	Kab. Muna	Kambowa	KDI20333	KDI
Kalimantan Tengah	Kab. Katingan	Kamipang	PKY20201	PKY
Jawa Timur	Kab. Trenggalek	Kampak	SUB22005	SUB
Riau	Kab. Kampar	Kampar	PKU20101	PKU
Riau	Kab. Kampar	Kampar Kiri	PKU20111	PKU
Riau	Kab. Kampar	Kampar Kiri Hilir	PKU20115	PKU
Riau	Kab. Kampar	Kampar Kiri Hulu	PKU20116	PKU
Riau	Kab. Kampar	Kampar Timur	PKU20117	PKU
Riau	Kab. Kampar	Kampar Utara	PKU20118	PKU
Jawa Tengah	Kab. Cilacap	Kampung Laut	CXP10024	CXP
Bengkulu	Kota Bengkulu	Kampung Melayu	BKS10021	BKS
Sumatera Utara	Kab. Labuhan Batu	Kampung Rakyat	MES20703	MES
Papua	Kab. Dogiyai	Kamu	NBX30100	NBX
Papua	Kab. Dogiyai	Kamu Selatan	NBX30101	NBX
Papua	Kab. Dogiyai	Kamu Timur	NBX30102	NBX
Papua	Kab. Dogiyai	Kamu Utara	NBX30103	NBX
Jawa Tengah	Kab. Pekalongan	Kandang Serang	SRG22204	SRG
Jawa Timur	Kab. Kediri	Kandangan	KDR10018	KDR
Kalimantan Selatan	Kab. Hulu Sungai Selatan	Kandangan	BDJ10200	BDJ
Jawa Tengah	Kab. Temanggung	Kandangan	MGL10405	MGL
Jawa Barat	Kab. Indramayu	Kandanghaur	CBN20110	CBN
Jawa Timur	Kab. Kediri	Kandat	KDR10004	KDR
Jawa Tengah	Kab. Batang	Kandeman	SRG20213	SRG
Riau	Kab. Siak	Kandis	PKU21204	PKU
Jawa Timur	Kab. Sumenep	Kangean	SUB20826	SUB
