Province	City	District	Area Code	CIty Code
Sumatera Barat	Kab. Padang Pariaman	2 X 11 Kayu Tanam	PDG20632	PDG
Sumatera Selatan	Kab. Muara Enim	Abab (Penukal Abab)	PLM20520	PLM
Bali	Kab. Karangasem	Abang	DPS20101	DPS
Sulawesi Tenggara	Kota Kendari	Abeli	KDI10014	KDI
Papua	Kab. Jayawijaya	Abenaho	DJJ20712	DJJ
Papua	Kota Jayapura	Abepura	DJJ10001	DJJ
Bali	Kab. Badung	Abiansemal	DPS21101	DPS
Sulawesi Tenggara	Kab. Konawe	Abuki	KDI20401	KDI
Papua Barat	Kab. Sorong	Abun	SOQ10018	SOQ
Lampung	Kab. Lampung Utara	Abung Barat	TKG20201	TKG
Lampung	Kab. Lampung Utara	Abung Selatan	TKG20202	TKG
Lampung	Kab. Lampung Utara	Abung Semuli	TKG20224	TKG
Lampung	Kab. Lampung Utara	Abung Surakarta	TKG20225	TKG
Lampung	Kab. Lampung Utara	Abung Tengah	TKG20226	TKG
Lampung	Kab. Lampung Utara	Abung Timur	TKG20203	TKG
Lampung	Kab. Lampung Utara	Abung Tinggi	TKG20228	TKG
Lampung	Kab. Tanggamus	Adi Luwih	TKG21308	TKG
Sumatera Utara	Kab. Tapanuli Utara	Adiankoting	MES21001	MES
Jawa Tengah	Kab. Kebumen	Adimulyo	MGL10101	MGL
Jawa Tengah	Kab. Cilacap	Adipala	CXP10001	CXP
Jawa Tengah	Kab. Tegal	Adiwerna	SRG21411	SRG
Sumatera Utara	Kab. Tapanuli Tengah	Adman Dewi	MES10205	MES
Nusa Tenggara Timur	Kab. Flores Timur	Adonara Barat	KOE20401	KOE
Nusa Tenggara Timur	Kab. Flores Timur	Adonara Timur	KOE20402	KOE
Sumatera Utara	Kab. Tapanuli Selatan	Aek Bilah	MES22401	MES
Sumatera Utara	Kab. Asahan	Aek Kuasan	MES10117	MES
Sumatera Utara	Kab. Labuhan Batu	Aek Kuo	MES20713	MES
Sumatera Utara	Kab. Labuhan Batu	Aek Natas	MES20701	MES
Nusa Tenggara Timur	Kab. Nagekeo	Aesesa	KOE21401	KOE
Nusa Tenggara Timur	Kab. Nagekeo	Aesesa Selatan	KOE21408	KOE
Sumatera Utara	Kab. Nias	Afulu	MES20301	MES
Papua	Kab. Asmat	Agats	DJJ20800	DJJ
Papua	Kab. Mimika	Agimuga	TIM10001	TIM
Papua	Kab. Paniai	Agisiga	NBX30201	NBX
Papua	Kab. Intan Jaya	Agisiga	NBX30501	NBX
Jawa Barat	Kab. Cianjur	Agrabinta	SMI20101	SMI
Papua Barat	Kab. Sorong Selatan	Aifat	SOQ20401	SOQ
Papua Barat	Kab. Sorong Selatan	Aifat Timur	SOQ20402	SOQ
Nusa Tenggara Barat	Kab. Lombok Timur	Aikmel	AMI20401	AMI
Papua Barat	Kab. Sorong	Aimas	SOQ10019	SOQ
Nusa Tenggara Timur	Kab. Ngada	Aimere	KOE20902	KOE
Sumatera Utara	Kab. Asahan	Air Batu	MES10103	MES
Kalimantan Barat	Kab. Landak	Air Besar	PNK20701	PNK
Bengkulu	Kab. Bengkulu Utara	Air Besi	BKS20105	BKS
Maluku	Kab. Buru	Air Buaya / Buru Utara Barat	AMQ20301	AMQ
Kepulauan Bangka Belitung	Kab. Bangka Selatan	Air Gegas	PGK10503	PGK
Jambi	Kab. Kerinci	Air Hangat	DJB20401	DJB
Jambi	Kab. Kerinci	Air Hangat Timur	DJB20411	DJB
Sumatera Utara	Kab. Asahan	Air Joman	MES10102	MES
Bengkulu	Kab. Bengkulu Utara	Air Napal	BKS20106	BKS
Bengkulu	Kab. Seluma	Air Periukan	BKS23001	BKS
Sumatera Utara	Kab. Batubara	Air Putih	MES21503	MES
Sumatera Selatan	Kab. Ogan Komering Ilir	Air Sugihan	PLM20214	PLM
Kalimantan Barat	Kab. Ketapang	Air Upas	PNK10114	PNK
Sulawesi Utara	Kab. Minahasa Utara	Airmadidi	MDC20800	MDC
Papua Barat	Kab. Sorong Selatan	Aitinyo	SOQ20403	SOQ
Sulawesi Selatan	Kab. Bone	Ajangale	UPG21801	UPG
Jawa Tengah	Kab. Banyumas	Ajibarang	SRG10401	SRG
Sumatera Utara	Kab. Toba Samosir	Ajibata	MES20116	MES
Jawa Timur	Kab. Jember	Ajung	JBR10026	JBR
Sumatera Barat	Kab. Lima Puluh Kota	Akabiluru	PDG21301	PDG
Papua	Kab. Asmat	Akat	DJJ20801	DJJ
Aceh	Kab. Simeuleu	Alafan	BTJ22101	BTJ
Nusa Tenggara Timur	Kota Kupang	Alak	KOE10029	KOE
Kalimantan Selatan	Kab. Barito Kuala	Alalak	BDJ20201	BDJ
Sumatera Selatan	Kota Palembang	Alang-Alang Lebar	PLM10003	PLM
Nusa Tenggara Barat	Kab. Sumbawa	Alas	AMI20501	AMI
Nusa Tenggara Barat	Kab. Sumbawa	Alas Barat	AMI20514	AMI
Sumatera Utara	Kab. Nias	Alasa	MES20302	MES
Jawa Tengah	Kab. Kebumen	Aliyan	MGL10102	MGL
Sulawesi Selatan	Kab. Enrekang	Alla	UPG20401	UPG
Sulawesi Selatan	Kab. Enrekang	Alla Timur	UPG20405	UPG
Sulawesi Barat	Kab. Polewali Mandar	Allu	UPG21209	UPG
Nusa Tenggara Timur	Kab. Sikka	Alok	KOE20507	KOE
Nusa Tenggara Timur	Kab. Alor	Alor Barat Daya	KOE20204	KOE
Nusa Tenggara Timur	Kab. Alor	Alor Barat Laut	KOE20205	KOE
Nusa Tenggara Timur	Kab. Alor	Alor Selatan	KOE20203	KOE
Nusa Tenggara Timur	Kab. Alor	Alor Tengah Utara	KOE20206	KOE
Nusa Tenggara Timur	Kab. Alor	Alor Timur	KOE20201	KOE
Nusa Tenggara Timur	Kab. Alor	Alor Timur Laut	KOE20207	KOE
Kalimantan Selatan	Kab. Banjar	Aluh Aluh	BDJ20301	BDJ
Nusa Tenggara Timur	Kab. Kupang	Amabioefeto Timur	KOE21901	KOE
Maluku	Kab. Maluku Tengah	Amahai	AMQ20118	AMQ
Sulawesi Selatan	Kab. Bone	Amali	UPG21819	UPG
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanatun Selatan	KOE20702	KOE
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanatun Tengah	KOE20709	KOE
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanatun Timur	KOE20710	KOE
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanatun Utara	KOE20701	KOE
Sumatera Utara	Kab. Nias Selatan	Amandraya	MES21801	MES
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanuban Barat	KOE20706	KOE
Nusa Tenggara Timur	Kab. Timor Tengah Selatan	Amanuban Selatan	KOE20704	KOE
Nusa Tenggara Timur	Kab. Kupang	Amarasi	KOE21905	KOE
Nusa Tenggara Timur	Kab. Kupang	Amarasi Barat	KOE21902	KOE
Nusa Tenggara Timur	Kab. Kupang	Amarasi Selatan	KOE21903	KOE
Nusa Tenggara Timur	Kab. Kupang	Amarasi Timur	KOE21904	KOE
Jawa Tengah	Kab. Kebumen	Ambal	MGL10103	MGL
Kalimantan Barat	Kab. Sintang	Ambalau	PNK10401	PNK
Kalimantan Barat	Kab. Melawi	Ambalau	PNK20801	PNK
Nusa Tenggara Barat	Kab. Bima	Ambalawi	AMI21101	AMI
Jawa Tengah	Kab. Semarang	Ambarawa	SRG21602	SRG
Papua Barat	Kab. Manokwari	Amberbaken	SOQ20609	SOQ
Maluku	Kota Ambon	Ambon	AMQ10000	AMQ
Jawa Timur	Kab. Jember	Ambulu	JBR10001	JBR
Jawa Timur	Kab. Sumenep	Ambunten	SUB20801	SUB
Nusa Tenggara Timur	Kab. Kupang	Amfoang Barat Daya	KOE21906	KOE
Nusa Tenggara Timur	Kab. Kupang	Amfoang Barat Laut	KOE21907	KOE
Nusa Tenggara Timur	Kab. Kupang	Amfoang Selatan	KOE21908	KOE
Nusa Tenggara Timur	Kab. Kupang	Amfoang Utara	KOE21909	KOE
Bali	Kab. Karangasem	Amlapura	DPS20100	DPS
Sulawesi Tengah	Kab. Tojo Una-Una	Ampana Kota	PLW21000	PLW
Sulawesi Tengah	Kab. Tojo Una-Una	Ampana Tete	PLW21001	PLW
Sumatera Barat	Kab. Agam	Ampek Nagari	PDG22213	PDG
Jawa Tengah	Kab. Boyolali	Ampel	SOC20101	SOC
Jawa Timur	Kab. Malang	Ampelgading	MXG20301	MXG
Jawa Tengah	Kab. Pemalang	Ampelgading	SRG21001	SRG
Nusa Tenggara Barat	Kota Mataram	Ampenan	AMI10011	AMI
Sulawesi Tengah	Kab. Parigi Moutong	Ampibabo	PLW20901	PLW
Kalimantan Selatan	Kab. Hulu Sungai Utara	Amuntai	BDJ20100	BDJ
Kalimantan Selatan	Kab. Hulu Sungai Utara	Amuntai Selatan	BDJ20102	BDJ
Kalimantan Selatan	Kab. Hulu Sungai Utara	Amuntai Tengah	BDJ20112	BDJ
Kalimantan Selatan	Kab. Hulu Sungai Utara	Amuntai Utara	BDJ20101	BDJ
Sulawesi Utara	Kab. Minahasa Selatan	Amurang	MDC20900	MDC
Lampung	Kab. Lampung Tengah	Anak Tuha	TKG20907	TKG
Jawa Barat	Bandung	Andir	BDO10041	BDO
Sulawesi Tenggara	Kab. Konawe Utara/ Selatan	Andolo/Wanggodo	KDI20800	KDI
Jawa Tengah	Kab. Boyolali	Andong	SOC20102	SOC
Sulawesi Tenggara	Kab. Konawe Utara/ Selatan	Angata	KDI20801	KDI
Kalimantan Timur	Kab. Kutai Kartanegara	Anggana	SMD20133	SMD
Sulawesi Selatan	Kab. Enrekang	Anggeraja	UPG20402	UPG
Sulawesi Selatan	Kab. Enrekang	Anggeraja Timur	UPG20406	UPG
Papua Barat	Kab. Manokwari	Anggi	SOQ20610	SOQ
Gorontalo	Kab. Gorontalo	Anggrek	GTO20111	GTO
Gorontalo	Kab. Gorontalo Utara	Anggrek	GTO20401	GTO
Papua	Kab. Yahukimo	Anggruk	DJJ21901	DJJ
Papua	Kab. Yapen Waropen	Angkaisera	DJJ20606	DJJ
Kalimantan Selatan	Kab. Hulu Sungai Selatan	Angkinang	BDJ10201	BDJ
Sulawesi Selatan	Kab. Luwu Timur	Angkona	UPG23201	UPG
Banten	Kab. Pandeglang	Angsana	CLG20122	CLG
Jawa Barat	Kab. Indramayu	Anjatan	CBN20101	CBN
Kalimantan Selatan	Kab. Barito Kuala	Anjir Muara	BDJ20203	BDJ
Kalimantan Selatan	Kab. Barito Kuala	Anjir Pasar	BDJ20202	BDJ
Sulawesi Barat	Kab. Polewali Mandar	Anreapi	UPG21210	UPG
Kalimantan Tengah	Kab. Kotawaringin Timur	Antang Kalang	PKY20808	PKY
Banten	Kab. Serang	Anyar	CLG20501	CLG
Papua	Kab. Jayawijaya	Apalapsili	DJJ20713	DJJ
Papua	Kab. Paniai	Aradide	NBX30202	NBX
Jawa Barat	Kab. Indramayu	Arahan	CBN20121	CBN
Sulawesi Barat	Kab. Mamasa	Aralle	UPG23401	UPG
Papua Barat	Kab. Teluk Bintuni	Aranday	SOQ20501	SOQ
Kalimantan Selatan	Kab. Banjar	Aranio	BDJ20310	BDJ
Jawa Barat	Bandung	Arcamanik	BDO10042	BDO
Bengkulu	Kab. Bengkulu Utara	Arga Makmur	BKS20100	BKS
Jawa Barat	Kab. Majalengka	Argapura	CBN20301	CBN
Jawa Tengah	Kota Salatiga	Argomulyo	SRG21308	SRG
Jawa Timur	Kab. Jember	Arjasa	JBR10002	JBR
Jawa Timur	Kab Situbondo	Arjasa	PBL20201	PBL
Jawa Timur	Kab. Sumenep	Arjasa	SUB20802	SUB
Jawa Barat	Kab. Bandung	Arjasari	BDO10101	BDO
Jawa Barat	Kab. Cirebon	Arjawinangun	CBN20402	CBN
Jawa Timur	Kab. Pacitan	Arjosari	MDN20301	MDN
Aceh	Kab. Aceh Barat	Arongan Lambalek	BTJ20320	BTJ
Jawa Timur	Kab. Bangkalan	Arosbaya	SUB20101	SUB
Sumatera Barat	Kab. Solok	Arosuka	PDG21700	PDG
Sumatera Utara	Kab. Tapanuli Selatan	Arse	MES22402	MES
Papua	Kab. Keerom	Arso	DJJ21001	DJJ
Sulawesi Selatan	Kab. Jeneponto	Arungkeke	UPG20509	UPG
Kalimantan Tengah	Kab. Kotawaringin Barat	Arut Selatan	PKY20710	PKY
Kalimantan Tengah	Kab. Kotawaringin Barat	Arut Utara	PKY20701	PKY
Nusa Tenggara Barat	Kota Bima	Asakota	AMI20111	AMI
Jawa Timur	Kab Situbondo	Asembagus	PBL20202	PBL
Jawa Timur	Kota Surabaya	Asemrowo	SUB10001	SUB
Sulawesi Tenggara	Kab. Konawe	Asera	KDI20405	KDI
Papua	Kab. Jayawijaya	Asologaima	DJJ20701	DJJ
Papua	Kab. Mappi	Assue	NBX30401	NBX
Kalimantan Selatan	Kab. Banjar	Astambul	BDJ20302	BDJ
Jawa Barat	Bandung	Astanaanyar	BDO10043	BDO
Jawa Barat	Kab. Cirebon	Astanajapura	CBN20403	CBN
Nusa Tenggara Timur	Kab. Lembata	Atadei	KOE21806	KOE
Nusa Tenggara Timur	Kab. Belu	Atambua	KOE20100	KOE
Gorontalo	Kab. Gorontalo	Atinggola	GTO20101	GTO
Gorontalo	Kab. Gorontalo Utara	Atinggota	GTO20402	GTO
Papua	Kab. Asmat	Atsy	DJJ20802	DJJ
Aceh	Kab. Aceh Tengah	Atu Lintang	BTJ20509	BTJ
Sumatera Barat	Kota Bukit Tinggi	Aur Birugo Tigo Baleh	PDG20211	PDG
Sulawesi Selatan	Kab. Tana Toraja Utara	Awan Rante Karua	UPG20626	UPG
Kalimantan Selatan	Kab. Barito Timur	Awang	BDJ20801	BDJ
Sulawesi Selatan	Kab. Bone	Awangpone	UPG21820	UPG
Kalimantan Selatan	Kab. Balangan	Awayan	BDJ21201	BDJ
Jawa Tengah	Kab. Kebumen	Ayah	MGL10118	MGL
Papua Barat	Kab. Sorong Selatan	Ayamaru	SOQ20404	SOQ
Papua Barat	Kab. Sorong Selatan	Ayamaru Utara	SOQ20405	SOQ
Nusa Tenggara Timur	Kab. Rote Ndao	Baa	KOE21500	KOE
Kalimantan Tengah	Kab. Kotawaringin Timur	Baamang	PKY20809	PKY
Jawa Timur	Kab. Ponorogo	Babadan	MDN20401	MDN
Aceh	Kab. Aceh Barat Daya	Babah Rot	BTJ21001	BTJ
Jawa Barat	Kab. Cirebon	Babakan	CBN20404	CBN
Jawa Barat	Kab. Bogor	Babakan Madang	BOO20142	BOO
Jawa Barat	Kab. Purwakarta	Babakancikao	BDO20804	BDO
Jawa Barat	Bandung	Babakanciparay	BDO10044	BDO
Sumatera Utara	Kab. Langkat	Babalan	MES20901	MES
Jawa Timur	Kab. Lamongan	Babat	SUB10201	SUB
Sumatera Selatan	Kab. Musi Banyuasin	Babat Toman	PLM20801	PLM
Jawa Barat	Kab. Bekasi	Babelan	BKI10123	BKI
Kalimantan Selatan	Kab. Hulu Sungai Utara	Babirik	BDJ20104	BDJ
Papua Barat	Kab. Teluk Bintuni	Babo	SOQ20502	SOQ
Aceh	Kab. Aceh Tenggara	Babul Makmur	BTJ20209	BTJ
Aceh	Kab. Aceh Tenggara	Babul Rahmat	BTJ20210	BTJ
Kalimantan Timur	Kab. Panajam Paser Utara	Babulu	BPN20302	BPN
Aceh	Kab. Aceh Tenggara	Babussalam	BTJ20211	BTJ
Maluku Utara	Kab. Halmahera Selatan	Bacan	TTE20301	TTE
Maluku Utara	Kab. Halmahera Selatan	Bacan Selatan	TTE20302	TTE
Maluku Utara	Kab. Halmahera Selatan	Bacan Timur	TTE20303	TTE
Sulawesi Selatan	Kota Pare-Pare	Bacukiki	UPG22301	UPG
Aceh	Kab. Aceh Tenggara	Badar	BTJ20201	BTJ
Kepulauan Bangka Belitung	Kab. Belitung	Badau	TJQ10008	TJQ
Kalimantan Barat	Kab. Kapuas Hulu	Badau	PNK20201	PNK
Jawa Timur	Kab. Ponorogo	Badegan	MDN20402	MDN
Sumatera Utara	Kab. Tapanuli Tengah	Badiri	MES10206	MES
Jawa Tengah	Kab. Kudus	Bae	SRG10208	SRG
Sulawesi Selatan	Kab. Luwu Utara	Baebunta	UPG23301	UPG
Riau	Kab. Rokan Hilir	Bagan Siapi-Api	PKU20500	PKU
Riau	Kab. Rokan Hilir	Bagan Sinembah	PKU20507	PKU
Jawa Tengah	Kab. Purworejo	Bagelen	MGL10301	MGL
Jawa Timur	Kab. Nganjuk	Bagor	SUB20401	SUB
Sulawesi Tengah	Kab. Morowali	Bahodopi	PLW20805	PLW
Lampung	Kab. Way Kanan	Bahuga	TKG21101	TKG
Aceh	Kota Banda Aceh	Baiturrahman	BTJ10018	BTJ
Aceh	Kab. Aceh Besar	Baitussalam	BTJ10313	BTJ
Nusa Tenggara Timur	Kab. Ngada	Bajawa	KOE20900	KOE
Sulawesi Selatan	Kab. Goa	Bajeng	UPG21601	UPG
Sulawesi Selatan	Kab. Luwu Utara	Bajo	UPG23101	UPG
Jambi	Kab. Batang Hari	Bajubang	DJB20206	DJB
Kepulauan Bangka Belitung	Kab. Bangka	Bakam	PGK10203	PGK
Kalimantan Selatan	Kab. Tampin	Bakarangan	BDJ20501	BDJ
Lampung	Kab. Lampung Selatan	Bakauheuni	TKG20115	TKG
Jawa Tengah	Kab. Sukoharjo	Baki	SOC20508	SOC
Aceh	Kab. Aceh Selatan	Bakongan	BTJ20601	BTJ
Aceh	Kab. Aceh Selatan	Bakongan Timur	BTJ20619	BTJ
Aceh	Kab. Aceh Utara	Baktia	BTJ21501	BTJ
Aceh	Kab. Aceh Utara	Baktia Barat	BTJ21502	BTJ
Sumatera Utara	Kab. Humbang Hasudutan	Baktiraja	MES21601	MES
Kalimantan Selatan	Kab. Barito Kuala	Bakumpai	BDJ20214	BDJ
Jawa Timur	Kab. Blitar	Bakung	MXG20101	MXG
Sulawesi Tengah	Kab. Donggala	Balaesang	PLW20701	PLW
Kalimantan Barat	Kab. Sanggau	Balai	PNK10201	PNK
Kalimantan Tengah	Kab. Sukamara	Balai Riam	PKY21301	PKY
Sulawesi Barat	Kab. Polewali Mandar	Balanipa	UPG21211	UPG
Sulawesi Tengah	Kab. Banggai	Balantak	PLW20101	PLW
Jawa Tengah	Kab. Tegal	Balapulang	SRG21401	SRG
Banten	Kab. Tangerang	Balaraja	TGR10101	TGR
Jawa Barat	Kab. Bandung	Baleendah	BDO10102	BDO
Jawa Timur	Kab. Bangkalan	Balega	SUB20102	SUB
Jawa Tengah	Kab. Bojonegoro	Balen	SRG20401	SRG
Jawa Timur	Kab. Madiun	Balerejo	MDN10101	MDN
Sumatera Utara	Kab. Toba Samosir	Balige	MES20100	MES
Lampung	Kab. Lampung Barat	Balik Bukit	TKG20401	TKG
Kalimantan Timur	Kota Balikpapan	Balikpapan	BPN10000	BPN
Kalimantan Timur	Kota Balikpapan	Balikpapan Barat	BPN10009	BPN
Kalimantan Timur	Kota Balikpapan	Balikpapan Selatan	BPN10010	BPN
Kalimantan Timur	Kota Balikpapan	Balikpapan Tengah	BPN10011	BPN
Kalimantan Timur	Kota Balikpapan	Balikpapan Timur	BPN10012	BPN
Kalimantan Timur	Kota Balikpapan	Balikpapan Utara	BPN10013	BPN
Sulawesi Selatan	Kab. Pangkajene Kepulauan	Balocci	UPG22101	UPG
Jawa Timur	Kab. Ponorogo	Balong	MDN20403	MDN
Jawa Barat	Kab. Indramayu	Balongan	CBN20102	CBN
Jawa Timur	Kab. Sidoarjo	Balongbendo	MJK10020	MJK
Jawa Timur	Kab.Gresik	Balongpanggang	SUB10101	SUB
Jawa Barat	Kab. Garut	Balubur Limbangan	BDO20704	BDO
Jawa Timur	Kab. Jember	Balung	JBR10003	JBR
Sulawesi Selatan	Kab. Barru	Balusu	UPG20205	UPG
Sulawesi Selatan	Kab. Tana Toraja Utara	Balusu	UPG20627	UPG
Sulawesi Barat	Kab. Mamuju Utara	Bambalamotu	UPG23501	UPG
D.I. Yogyakarta	Kab. Bantul	Bambanglipuro	JOG20101	JOG
Aceh	Kab. Aceh Tenggara	Bambel	BTJ20202	BTJ
Kalimantan Tengah	Kab. Pulang Pisau	Banamatingang	PKY21201	PKY
Sulawesi Tengah	Kab. Donggala	Banawa	PLW20700	PLW
Jawa Tengah	Kab. Semarang	Bancak	SRG21604	SRG
Jawa Timur	Kab. Tuban	Bancar	SUB20901	SUB
Maluku	Kab. Maluku Tengah	Banda	AMQ20101	AMQ
Aceh	Kota Banda Aceh	Banda Aceh	BTJ10000	BTJ
Aceh	Kab. Aceh Timur	Banda Alam	BTJ21401	BTJ
Aceh	Kota Banda Aceh	Banda Raya	BTJ10017	BTJ
Aceh	Kota Lhokseumawe	Banda Sakti	BTJ10226	BTJ
Aceh	Kab. Bener Meriah	Bandar	BTJ21601	BTJ
Jawa Tengah	Kab. Batang	Bandar	SRG20201	SRG
Sumatera Utara	Kab. Simalungun	Bandar	MES20601	MES
Jawa Timur	Kab. Pacitan	Bandar	MDN20302	MDN
Aceh	Kab. Pidie Jaya	Bandar Baru	BTJ21905	BTJ
Aceh	Kab. Pidie Jaya	Bandar Dua	BTJ21903	BTJ
Sumatera Utara	Kab. Simalungun	Bandar Huluan	MES20622	MES
Lampung	Kab. Lampung Tengah	Bandar Jaya	TKG20927	TKG
Jawa Timur	Kab. Jombang	Bandar Kedungmulyo	SUB20201	SUB
Sumatera Utara	Kab. Serdang Bedagai	Bandar Khalipah	MES22301	MES
Lampung	Kota Bandar Lampung	Bandar Lampung	TKG10000	TKG
Sumatera Utara	Kab. Simalungun	Bandar Masilam	MES20623	MES
Lampung	Kab. Lampung Tengah	Bandar Mataram	TKG20908	TKG
Sumatera Utara	Kab. Asahan	Bandar Pasir Mandoge	MES10104	MES
Sumatera Utara	Kab. Asahan	Bandar Pulau	MES10105	MES
Kepulauan Riau	Kab. Bintan	Bandar Sri Bintan	TNJ10100	TNJ
Lampung	Kab. Lampung Timur	Bandar Sribawano	TKG21009	TKG
Lampung	Kab. Lampung Tengah	Bandar Surabaya	TKG20909	TKG
Sumatera Selatan	Kab. Ogan Komering Ulu Selatan	Banding Agung	PLM21501	PLM
Jawa Tengah	Kab. Magelang	Bandongan	MGL10502	MGL
Jawa Barat	Bandung	Bandung	BDO10000	BDO
Jawa Timur	Kab. Tulungagung	Bandung	SUB21001	SUB
Jawa Barat	Bandung	Bandung Kidul	BDO10045	BDO
Jawa Barat	Bandung	Bandung Kulon	BDO10046	BDO
Jawa Barat	Bandung	Bandung Wetan	BDO10047	BDO
Sulawesi Barat	Kab. Majene	Banggae	UPG20904	UPG
Sulawesi Tengah	Kab. Banggai Kepulauan	Banggai	PLW20500	PLW
Jawa Timur	Kab. Pasuruan	Bangil	PDN10001	PDN
Jawa Timur	Kab. Tuban	Bangilan	SUB20902	SUB
Sulawesi Selatan	Kab. Jeneponto	Bangkala	UPG20501	UPG
Sulawesi Selatan	Kab. Jeneponto	Bangkala Barat	UPG20505	UPG
Jawa Timur	Kab. Bangkalan	Bangkalan	SUB20100	SUB
Sulawesi Selatan	Kab. Tana Toraja Utara	Bangkelekila	UPG20628	UPG
Riau	Kab. Kampar	Bangkinang	PKU20100	PKU
Riau	Kab. Kampar	Bangkinang Barat	PKU20112	PKU
Riau	Kab. Kampar	Bangkinang Seberang	PKU20113	PKU
Jambi	Kab. Merangin	Bangko	DJB20100	DJB
Riau	Kab. Rokan Hilir	Bangko	PKU20508	PKU
Riau	Kab. Rokan Hilir	Bangko Pusako	PKU20509	PKU
Bali	Kab. Bangli	Bangli	DPS20200	DPS
Jawa Barat	Kab. Indramayu	Bangodua	CBN20103	CBN
Jawa Timur	Kab. Banyuwangi	Bangorejo	JBR20101	JBR
Jawa Timur	Kab. Mojokerto	Bangsal	MJK10001	MJK
Jawa Timur	Kab. Jember	Bangsalsari	JBR10004	JBR
Jawa Tengah	Kab. Jepara	Bangsri	SRG10101	SRG
Sumatera Utara	Kab. Deli Serdang	Bangun Purba	MES10615	MES
Riau	Kab. Rokan Hulu	Bangun Purba	PKU21101	PKU
Lampung	Kab. Lampung Tengah	Bangunrejo	TKG20910	TKG
D.I. Yogyakarta	Kab. Bantul	Banguntapan	JOG20114	JOG
Kalimantan Selatan	Kab. Hulu Sungai Utara	Banjang	BDJ20113	BDJ
Jawa Barat	Kota Banjar	Banjar	BDO20400	BDO
Banten	Kab. Pandeglang	Banjar	CLG20101	CLG
Bali	Kab. Buleleng	Banjar	DPS20601	DPS
Lampung	Kab. Tulang Bawang	Banjar Agung	TKG21204	TKG
Jawa Barat	Kab. Bandung	Banjaran	BDO10103	BDO
Jawa Barat	Kab. Majalengka	Banjaran	CBN20320	CBN
Bali	Kab. Klungkung	Banjarangkan	DPS20504	DPS
Kalimantan Selatan	Kota Banjarbaru	Banjarbaru	BDJ10500	BDJ
Jawa Tengah	Kab. Blora	Banjarejo	SRG20301	SRG
Jawa Tengah	Kab. Brebes	Banjarharjo	SRG20501	SRG
Jawa Tengah	Kab. Banjarnegara	Banjarmangu	SRG21801	SRG
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin	BDJ10000	BDJ
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Barat	BDJ10001	BDJ
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Selatan	BDJ10002	BDJ
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Tengah	BDJ10003	BDJ
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Timur	BDJ10004	BDJ
Kalimantan Selatan	Kota Banjarmasin	Banjarmasin Utara	BDJ10005	BDJ
Jawa Tengah	Kab. Banjarnegara	Banjarnegara	SRG21800	SRG
Jawa Tengah	Kota Surakarta	Banjarsari	SOC10001	SOC
Banten	Kab. Lebak	Banjarsari	CLG20201	CLG
Jawa Barat	Kab. Ciamis	Banjarsari	BDO20513	BDO
Jawa Barat	Kab. Garut	Banjarwangi	BDO20701	BDO
Lampung	Kab. Way Kanan	Banjit/Banjid	TKG21104	TKG
Jawa Tengah	Kab. Temanggung	Bansari	MGL10420	MGL
Sulawesi Selatan	Kab. Bantaeng	Bantaeng	UPG20100	UPG
Riau	Kab. Bengkalis	Bantan	PKU20210	PKU
Jawa Barat	Kota Bekasi	Bantar Gebang	BKI10002	BKI
Jawa Timur	Kab. Probolinggo	Bantaran	PBL10002	PBL
Jawa Tengah	Kab. Pemalang	Bantarbolang	SRG21002	SRG
Jawa Barat	Kab. Sukabumi	Bantargadung	SMI10001	SMI
Jawa Barat	Kab. Tasikmalaya	Bantarkalong	BDO20612	BDO
Jawa Tengah	Kab. Brebes	Bantarkawung	SRG20502	SRG
Jawa Tengah	Kab. Cilacap	Bantarsari	CXP10023	CXP
Jawa Barat	Kab. Majalengka	Bantarujeg	CBN20302	CBN
Sulawesi Selatan	Kab. Maros	Bantimurung	UPG20801	UPG
D.I. Yogyakarta	Kab. Bantul	Bantul	JOG20100	JOG
Jawa Timur	Kab. Malang	Bantur	MXG20302	MXG
Kalimantan Selatan	Kab. Tabalong	Banua Lawas	BDJ10401	BDJ
Sumatera Barat	Kab. Agam	Banuhampu	PDG22206	PDG
Jawa Timur	Kab. Kediri	Banyakan	KDR10022	KDR
Jawa Timur	Kab. Probolinggo	Banyuanyar	PBL10001	PBL
Sumatera Selatan	Kab. Banyuasin	Banyuasin I	PLM21001	PLM
Sumatera Selatan	Kab. Banyuasin	Banyuasin Ii	PLM21002	PLM
Sumatera Selatan	Kab. Banyuasin	Banyuasin Iii	PLM21003	PLM
Jawa Timur	Kab. Sampang	Banyuates	SUB20601	SUB
Jawa Tengah	Kab. Semarang	Banyubiru	SRG21603	SRG
Jawa Tengah	Kab. Boyolali	Banyudono	SOC20103	SOC
